gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,tenure_years,is_new_customer,is_long_term_customer,monthly_charges_group,avg_monthly_charges,charge_increase,is_high_value_customer,total_services,service_adoption_rate,has_internet,has_fiber_optic,premium_services_count,has_premium_services,is_month_to_month,is_long_term_contract,is_automatic_payment,is_electronic_check,paperless_billing,is_senior_citizen,is_male,has_partner,has_dependents,family_size,is_single,charges_per_service,tenure_to_charges_ratio,tenure_x_MonthlyCharges,tenure_x_TotalCharges,is_senior_citizen_x_MonthlyCharges,has_internet_x_total_services,is_month_to_month_x_MonthlyCharges,has_fiber_optic_x_MonthlyCharges,family_size_x_total_services,is_automatic_payment_x_is_long_term_contract
Female,0,Yes,No,51,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),67.79700526558496,3349.75148082728,Yes,4-6 years,4.25,0,0,High,65.68140158484863,1,0,4,0.4444444444444444,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,16.94925131639624,0.7522456161627623,3457.647268544833,170837.32552219127,0.0,4,0.0,0.0,4,1
Male,0,No,No,58,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,61.41895181339896,61.41895181339896,No,4-6 years,4.833333333333333,0,0,Medium,1.0589474450586027,1,0,3,0.3333333333333333,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,20.472983937799654,0.9443339276810468,3562.29920517714,3562.29920517714,0.0,3,61.41895181339896,61.41895181339896,0,0
Female,0,No,Yes,60,Yes,No phone service,DSL,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),32.30812997555176,1979.194613380865,No,4-6 years,5.0,0,0,Low,32.98657688968108,0,0,2,0.2222222222222222,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,16.15406498777588,1.8571176990250833,1938.4877985331054,118751.6768028519,0.0,2,32.30812997555176,0.0,2,0
Female,0,No,No,18,Yes,Yes,No,No internet service,No,No,No,No,No internet service,One year,No,Bank transfer (automatic),75.86198746686166,3129.5898148881697,No,1-2 years,1.5,0,0,High,173.86610082712053,0,0,2,0.2222222222222222,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,37.93099373343083,0.23727298217520115,1365.51577440351,56332.61666798705,0.0,0,0.0,0.0,0,1
Female,1,No,No,67,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),79.7566057627628,2529.5909262213304,No,4-6 years,5.583333333333333,0,1,High,37.75508845106463,1,1,3,0.3333333333333333,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,26.585535254254268,0.8400558092867252,5343.692586105108,169482.59205682913,79.7566057627628,3,79.7566057627628,79.7566057627628,0,0
Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Two year,No,Bank transfer (automatic),62.95566731301273,2713.562639050132,No,1-2 years,1.4166666666666667,0,0,Medium,159.6213317088313,0,0,2,0.2222222222222222,1,1,0,0,0,1,1,0,0,0,1,1,1,2,0,31.477833656506366,0.2700312890891422,1070.2463443212164,46130.56486385225,0.0,2,0.0,62.95566731301273,4,1
Female,1,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,68.42843316110795,2932.789137067435,Yes,2-4 years,2.8333333333333335,0,0,High,86.25850403139515,0,0,5,0.5555555555555556,1,1,2,1,1,0,0,1,1,1,0,0,0,0,1,13.68568663222159,0.4968694799711456,2326.56672747767,99714.83066029279,68.42843316110795,5,68.42843316110795,68.42843316110795,0,0
Male,0,No,Yes,30,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),95.13678298858989,2675.8724794028835,No,2-4 years,2.5,0,0,Very High,89.19574931342945,1,1,5,0.5555555555555556,1,1,3,1,1,0,1,0,1,0,1,0,1,1,0,19.027356597717976,0.31533544710669914,2854.1034896576966,80276.17438208651,0.0,5,95.13678298858989,95.13678298858989,5,0
Female,0,Yes,No,19,No,No,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),70.30752074473344,70.30752074473344,Yes,1-2 years,1.5833333333333333,0,0,High,3.700395828670181,1,0,1,0.1111111111111111,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,70.30752074473344,0.2702413596545892,1335.8428941499353,1335.8428941499353,0.0,1,70.30752074473344,70.30752074473344,1,0
Female,1,No,Yes,9,Yes,No,DSL,No,Yes,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),73.36319291826264,2991.6378782389493,Yes,0-1 year,0.75,0,0,High,332.40420869321656,0,0,2,0.2222222222222222,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,36.68159645913132,0.1226773214468367,660.2687362643637,26924.740904150545,73.36319291826264,2,0.0,0.0,2,1
Female,0,No,No,40,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,68.49628296309591,1102.208982232772,Yes,2-4 years,3.3333333333333335,0,0,High,27.5552245558193,1,0,3,0.3333333333333333,1,1,2,1,1,0,0,1,1,0,0,0,0,0,1,22.83209432103197,0.5839732941647506,2739.851318523836,44088.35928931089,0.0,3,68.49628296309591,68.49628296309591,0,0
Female,0,No,No,44,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,93.49231536162164,1671.3498668012646,No,2-4 years,3.6666666666666665,0,0,High,37.98522424548329,1,1,5,0.5555555555555556,1,0,2,1,0,1,0,1,1,0,0,0,0,0,1,18.698463072324326,0.47062691548295843,4113.661875911352,73539.39413925564,0.0,5,0.0,0.0,0,0
Female,0,No,Yes,59,Yes,No phone service,No,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),85.10501727207976,2641.8964615268883,Yes,4-6 years,4.916666666666667,0,0,High,44.777906127574376,1,1,6,0.6666666666666666,0,0,3,1,0,1,1,0,0,0,0,0,1,1,0,14.184169545346627,0.693261124798056,5021.196019052706,155871.89123008642,0.0,0,0.0,0.0,6,1
Female,0,No,No,25,Yes,Yes,DSL,No,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.6182869454784,1908.7521868660967,No,2-4 years,2.0833333333333335,0,0,High,76.35008747464387,1,1,3,0.3333333333333333,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,30.872762315159466,0.2699250960527563,2315.45717363696,47718.80467165242,0.0,3,92.6182869454784,0.0,0,0
Female,0,No,Yes,71,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),76.78769028003316,444.09656002629686,Yes,4-6 years,5.916666666666667,0,1,High,6.2548811271309415,1,0,4,0.4444444444444444,1,1,2,1,1,0,1,0,1,0,0,0,1,1,0,19.19692257000829,0.9246273685414117,5451.926009882354,31530.85576186708,0.0,4,76.78769028003316,76.78769028003316,4,0
Female,0,No,No,53,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,83.04017031029261,3411.1604170635574,Yes,4-6 years,4.416666666666667,0,0,High,64.36151730308599,1,1,3,0.3333333333333333,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,27.680056770097536,0.6382453191263601,4401.129026445508,180791.50210436853,0.0,3,83.04017031029261,83.04017031029261,0,0
Male,0,Yes,No,48,Yes,No,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,47.727993781260736,604.158741853546,No,2-4 years,4.0,0,0,Medium,12.586640455282208,1,0,3,0.3333333333333333,1,0,2,1,1,0,0,1,1,0,1,1,0,1,0,15.909331260420245,1.0056990918157147,2290.943701500515,28999.619608970206,0.0,3,47.727993781260736,0.0,3,0
Male,0,Yes,Yes,71,Yes,Yes,DSL,No,No internet service,No,No internet service,Yes,No,Month-to-month,No,Mailed check,65.11562501571895,1444.892433769551,No,4-6 years,5.916666666666667,0,1,High,20.35059765872607,1,0,3,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,1,1,1,2,0,21.705208338572984,1.0903680949520267,4623.209376116045,102587.36279763812,0.0,3,65.11562501571895,0.0,6,0
Female,0,No,No,53,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,76.83981390659561,3356.2651088467737,Yes,4-6 years,4.416666666666667,0,0,High,63.32575677069384,1,0,2,0.2222222222222222,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,38.419906953297804,0.6897465949673611,4072.510137049567,177882.050768879,0.0,2,76.83981390659561,76.83981390659561,0,0
Female,0,Yes,Yes,49,Yes,No phone service,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),92.7421009306682,652.037078557745,No,4-6 years,4.083333333333333,0,0,High,13.306879154239693,1,1,2,0.2222222222222222,0,0,1,1,0,1,1,0,1,0,0,1,1,2,0,46.3710504653341,0.528346883543551,4544.362945602742,31949.8168493295,0.0,0,0.0,0.0,4,1
Female,0,No,No,43,No,No,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,One year,No,Bank transfer (automatic),87.70726209379703,4444.440406043153,No,2-4 years,3.5833333333333335,0,0,High,103.3590792103059,0,1,1,0.1111111111111111,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,87.70726209379703,0.4902672706168206,3771.4122700332723,191110.9374598556,0.0,1,0.0,87.70726209379703,0,1
Male,0,Yes,No,19,Yes,Yes,No,Yes,No,No internet service,No,No,No,One year,Yes,Credit card (automatic),60.77840497947915,802.9277769920232,No,1-2 years,1.5833333333333333,0,0,Medium,42.25935668379069,1,0,3,0.3333333333333333,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,20.25946832649305,0.31261103358034886,1154.7896946101039,15255.62776284844,0.0,0,0.0,0.0,3,1
Female,1,No,No,66,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,59.72958291854048,1166.780324436769,Yes,4-6 years,5.5,0,1,Medium,17.67848976419347,1,0,4,0.4444444444444444,1,0,2,1,0,1,0,1,1,1,0,0,0,0,1,14.93239572963512,1.1049800915236785,3942.1524726236717,77007.50141282675,59.72958291854048,4,0.0,0.0,0,0
Male,0,Yes,No,34,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),58.06667204810616,2314.3351255942484,No,2-4 years,2.8333333333333335,0,0,Medium,68.06868016453672,0,0,3,0.3333333333333333,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,19.35555734936872,0.5855338148504914,1974.2668496356096,78687.39427020444,0.0,3,58.06667204810616,0.0,3,0
Male,1,No,No,54,Yes,No phone service,Fiber optic,No,No,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),37.040252411596505,37.040252411596505,Yes,4-6 years,4.5,0,0,Medium,0.68593060021475,1,0,2,0.2222222222222222,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,18.520126205798253,1.4578734345528856,2000.1736302262113,2000.1736302262113,37.040252411596505,2,0.0,37.040252411596505,0,1
Male,0,Yes,No,1,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),72.1191870523783,72.1191870523783,Yes,0-1 year,0.08333333333333333,1,0,High,72.1191870523783,0,0,5,0.5555555555555556,1,0,3,1,1,0,1,0,0,0,1,1,0,1,0,14.42383741047566,0.013865935555731181,72.1191870523783,72.1191870523783,0.0,5,72.1191870523783,0.0,5,0
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),60.45578776277081,5001.508893505019,Yes,4-6 years,4.583333333333333,0,0,Medium,90.93652533645489,0,0,4,0.4444444444444444,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,15.113946940692703,0.9097557411015901,3325.0683269523947,275082.98914277606,0.0,4,60.45578776277081,60.45578776277081,4,0
Male,0,No,Yes,15,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,59.17138135967864,2201.76490653724,Yes,1-2 years,1.25,0,0,Medium,146.78432710248268,0,0,1,0.1111111111111111,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,59.17138135967864,0.25350092655131934,887.5707203951796,33026.473598058605,0.0,1,59.17138135967864,59.17138135967864,1,0
Female,0,No,No,15,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,92.26117647865328,3374.7044185654536,Yes,1-2 years,1.25,0,0,High,224.98029457103024,0,1,3,0.3333333333333333,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,30.753725492884428,0.16258192852624842,1383.9176471797991,50620.566278481805,0.0,0,92.26117647865328,0.0,0,0
Female,0,Yes,Yes,23,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No internet service,Two year,Yes,Mailed check,60.0862129383091,3171.1577079749604,No,1-2 years,1.9166666666666667,0,0,Medium,137.87642208586786,0,0,4,0.4444444444444444,1,0,2,1,0,1,0,0,1,0,0,1,1,2,0,15.021553234577276,0.3827833187559057,1381.9828975811095,72936.6272834241,0.0,4,0.0,0.0,8,0
Female,0,Yes,Yes,66,Yes,No,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,53.70561978627768,2228.1246870142786,Yes,4-6 years,5.5,0,1,Medium,33.759464954761796,1,0,5,0.5555555555555556,1,0,3,1,1,0,0,1,1,0,0,1,1,2,0,10.741123957255535,1.2289216708167225,3544.5709058943266,147056.2293429424,0.0,5,53.70561978627768,0.0,10,0
Female,0,No,No,46,No,No,No,No internet service,No,No internet service,Yes,Yes,No,One year,No,Electronic check,85.39601733493217,1861.1294790279608,No,2-4 years,3.8333333333333335,0,0,High,40.45933650060784,1,1,2,0.2222222222222222,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,42.698008667466084,0.5386668071367211,3928.21679740688,85611.95603528619,0.0,0,0.0,0.0,0,0
Female,1,Yes,No,9,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.37178627139068,649.053717247421,Yes,0-1 year,0.75,0,0,Very High,72.1170796941579,1,1,5,0.5555555555555556,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,19.074357254278134,0.0943675310263093,858.346076442516,5841.483455226789,95.37178627139068,5,95.37178627139068,0.0,5,0
Male,0,No,No,66,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),65.02456733271244,4042.101783423288,No,4-6 years,5.5,0,1,High,61.24396641550436,1,0,5,0.5555555555555556,1,1,2,1,1,0,1,0,1,0,1,0,0,0,1,13.004913466542487,1.0150009866624186,4291.621443959021,266778.717705937,0.0,5,65.02456733271244,65.02456733271244,0,0
Female,0,Yes,No,66,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),59.079556028148176,1291.7092306809443,No,4-6 years,5.5,0,1,Medium,19.571351980014306,1,0,3,0.3333333333333333,1,1,2,1,1,0,1,0,0,0,0,1,0,1,0,19.69318534271606,1.1171377112000405,3899.2506978577794,85252.80922494232,0.0,3,59.079556028148176,59.079556028148176,3,0
Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),63.8757471745388,1199.6765775660651,No,1-2 years,1.5,0,0,Medium,66.64869875367029,0,0,4,0.4444444444444444,1,0,2,1,0,1,1,0,1,0,0,1,0,1,0,15.9689367936347,0.28179709508235534,1149.7634491416984,21594.17839618917,0.0,4,0.0,0.0,4,1
Male,0,No,No,17,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),83.93073746150682,83.93073746150682,No,1-2 years,1.4166666666666667,0,0,High,4.937102203618048,1,1,2,0.2222222222222222,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,41.96536873075341,0.20254796412097195,1426.822536845616,1426.822536845616,0.0,2,83.93073746150682,0.0,0,0
Female,0,No,Yes,72,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),60.893318412668215,4182.505666868509,No,4-6 years,6.0,0,1,Medium,58.090356484284854,1,0,5,0.5555555555555556,1,0,3,1,0,1,1,0,0,0,0,0,1,1,0,12.178663682533642,1.1823957353097898,4384.318925712111,301140.40801453264,0.0,5,0.0,0.0,5,1
Male,0,No,No,34,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),72.22564844208118,1786.1655026509625,No,2-4 years,2.8333333333333335,0,0,High,52.53427948973419,1,0,5,0.5555555555555556,1,0,3,1,1,0,1,0,1,0,1,0,0,0,1,14.445129688416236,0.4707468985517673,2455.67204703076,60729.62709013272,0.0,5,72.22564844208118,0.0,0,0
Female,1,Yes,No,69,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,49.518480728000014,840.2418201832531,Yes,4-6 years,5.75,0,1,Medium,12.177417683815262,1,0,1,0.1111111111111111,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,49.518480728000014,1.3934191636251927,3416.775170232001,57976.68559264447,49.518480728000014,1,49.518480728000014,49.518480728000014,1,0
Male,0,Yes,No,64,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),131.05161388436505,4735.297515675818,No,4-6 years,5.333333333333333,0,1,Very High,73.98902368243466,1,1,4,0.4444444444444444,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,32.76290347109126,0.4883572060125193,8387.303288599363,303059.0410032524,0.0,4,131.05161388436505,0.0,4,0
Female,0,Yes,No,44,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,One year,No,Bank transfer (automatic),59.33513538340853,59.33513538340853,No,2-4 years,3.6666666666666665,0,0,Medium,1.3485258041683756,1,0,1,0.1111111111111111,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,59.33513538340853,0.7415505116097437,2610.745956869975,2610.745956869975,0.0,1,0.0,0.0,1,1
Female,0,No,No,29,Yes,No phone service,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,74.64027295906465,118.3658046551816,No,2-4 years,2.4166666666666665,0,0,High,4.0815794708683315,1,0,3,0.3333333333333333,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,24.880090986354883,0.38853019757717955,2164.5679158128746,3432.6083350002664,0.0,3,74.64027295906465,74.64027295906465,0,0
Male,0,Yes,No,62,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),76.13084156461939,76.13084156461939,No,4-6 years,5.166666666666667,0,1,High,1.227916799429345,1,0,4,0.4444444444444444,0,0,3,1,1,0,1,0,1,0,1,1,0,1,0,19.032710391154847,0.8143874246730188,4720.112177006402,4720.112177006402,0.0,0,76.13084156461939,0.0,4,0
Male,0,Yes,No,16,Yes,No,No,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,82.00332409390703,2686.8011996773257,No,1-2 years,1.3333333333333333,0,0,High,167.92507497983286,0,1,2,0.2222222222222222,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,41.00166204695351,0.19511404173905708,1312.0531855025124,42988.81919483721,0.0,0,82.00332409390703,0.0,2,0
Male,0,No,No,52,Yes,No phone service,No,No,No internet service,Yes,No,No,No,One year,Yes,Mailed check,48.02298869088847,2091.9588597859183,No,4-6 years,4.333333333333333,0,0,Medium,40.22997807280612,1,0,2,0.2222222222222222,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,24.011494345444234,1.0828147397220635,2497.1954119262004,108781.86070886775,0.0,0,0.0,0.0,0,0
Male,0,Yes,No,2,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Electronic check,72.11585593319622,2269.645671494905,No,0-1 year,0.16666666666666666,1,0,High,1134.8228357474525,0,0,4,0.4444444444444444,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,18.028963983299054,0.02773315208035081,144.23171186639243,4539.29134298981,0.0,4,0.0,72.11585593319622,4,0
