customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV
CUST_0020,Male,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,77.81927979723628,3873.3765268784737,Yes,1089.4699171613079
CUST_0021,Female,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),18.25,18.8,No,146.0
CUST_0022,Male,0,Yes,No,24,Yes,Yes,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),82.87358226148989,2971.150512251744,No,1988.9659742757572
CUST_0023,Female,0,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,No internet service,No,Two year,No,Bank transfer (automatic),69.88518542973381,2613.7759802548385,No,2725.5222317596185
CUST_0024,Female,1,Yes,No,49,Yes,No phone service,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,104.8725836720458,3698.557193666265,No,5138.756599930244
CUST_0025,Female,0,No,No,63,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,No,Mailed check,38.168148977817054,31.87338611284349,Yes,2404.5933856024744
CUST_0026,Female,0,Yes,No,26,Yes,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),56.171770332295615,6588.370475993908,No,1460.466028639686
CUST_0027,Female,0,No,No,10,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No,Two year,No,Credit card (automatic),68.65687054150126,5653.96944557637,No,686.5687054150126
CUST_0028,Female,0,No,Yes,58,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),69.8262426299339,1981.990480825921,No,4049.922072536166
CUST_0029,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.32654826989149,254.20471330522173,No,1054.5716757784808
CUST_0030,Female,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),56.51393637705051,18.8,Yes,4012.4894827705866
CUST_0031,Male,0,Yes,Yes,39,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,110.06941168832618,3472.3456145026275,No,4292.707055844721
CUST_0032,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,74.35354490289684,3486.2513835006284,No,2304.959891989802
CUST_0033,Female,0,Yes,Yes,50,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),47.46430927441227,18.8,No,2373.2154637206136
CUST_0034,Female,0,No,No,16,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.84715035214779,71.70612502994209,Yes,1133.5544056343647
CUST_0035,Female,0,Yes,Yes,72,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),50.5762459418208,3731.410258578979,No,3641.4897078110976
CUST_0036,Male,0,No,Yes,51,No,Yes,No,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,18.635872248040613,18.8,No,950.4294846500712
CUST_0037,Female,1,Yes,No,15,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,56.33972224789617,6663.611421014607,Yes,845.0958337184426
CUST_0038,Male,0,No,Yes,38,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),39.07585325861046,658.5985674783922,No,1484.8824238271975
CUST_0039,Male,1,Yes,Yes,71,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,One year,No,Electronic check,66.60503166226113,4556.087949982382,No,4728.95724802054
CUST_0040,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,47.33361017272854,3085.175669679009,No,3408.019932436455
CUST_0041,Male,0,No,Yes,21,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Two year,Yes,Electronic check,31.03888394829448,202.0513843091917,No,651.816562914184
CUST_0042,Male,0,Yes,Yes,16,Yes,No,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),95.61582221240906,1596.8713109556738,No,1529.853155398545
CUST_0043,Female,0,No,No,67,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),24.11278053183772,2051.8564588678046,No,1615.5562956331273
CUST_0044,Female,0,Yes,Yes,65,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No,No internet service,One year,No,Electronic check,60.21877743516311,2644.444828445612,No,3914.2205332856024
CUST_0045,Female,0,Yes,No,13,Yes,No,DSL,No,No internet service,No internet service,Yes,No,Yes,One year,Yes,Mailed check,54.95896143920119,3212.673002729412,No,714.4664987096155
CUST_0046,Female,0,No,Yes,64,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.910425739840804,2690.663629803965,No,1594.2672473498114
CUST_0047,Female,1,No,Yes,61,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),40.93500061594344,2277.2911109722145,Yes,2497.0350375725498
CUST_0048,Male,0,Yes,No,32,Yes,No,No,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,18.25,4300.858136293209,No,584.0
CUST_0049,Female,0,No,No,12,Yes,No,DSL,No internet service,No internet service,No,No,Yes,Yes,One year,No,Electronic check,41.2554907549848,1601.0766550816202,Yes,495.06588905981755
CUST_0050,Female,0,No,Yes,41,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,79.03033373837417,37.58493070660097,No,3240.243683273341
CUST_0051,Male,0,No,No,66,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.74274043233616,4260.707256901644,No,3283.020868534187
CUST_0052,Female,0,Yes,Yes,8,Yes,No,No,No,No,No internet service,Yes,No,No,One year,Yes,Credit card (automatic),87.14281717425193,3659.8367538120974,No,697.1425373940154
CUST_0053,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Mailed check,84.67650905181117,4335.518949259924,No,4995.914034056859
CUST_0054,Female,1,No,No,25,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,60.95311623677011,2542.9244887569243,Yes,1523.8279059192528
CUST_0055,Male,0,No,Yes,5,No,No,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),62.84522235507698,18.8,No,314.2261117753849
CUST_0056,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),78.29378881772487,2840.1862808104406,No,3523.2204967976195
CUST_0057,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,No,Electronic check,45.09208769636072,1866.451269022107,Yes,90.18417539272144
CUST_0058,Male,0,Yes,No,42,Yes,Yes,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.231102040763446,18.8,No,2193.7062857120645
CUST_0059,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,65.84692037245638,3841.341842357734,No,2502.1829741533425
CUST_0060,Male,0,Yes,No,3,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.06059844157759,2655.528022949791,No,84.18179532473278
CUST_0061,Male,0,Yes,Yes,46,Yes,Yes,No,No internet service,No,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,33.34492468511596,3968.9221847627,No,1533.8665355153344
CUST_0062,Male,0,Yes,No,22,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),107.31519708350451,2118.7684628167653,Yes,2360.9343358370993
CUST_0063,Male,0,No,No,33,Yes,No,No,No,No,No,No,Yes,No,One year,Yes,Mailed check,91.4126747362505,4282.927939711925,No,3016.6182662962665
CUST_0064,Male,0,Yes,No,32,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),21.734112985239257,3429.378465846789,No,695.4916155276562
CUST_0065,Male,0,Yes,No,17,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Two year,No,Mailed check,87.78110966071874,3415.2604267937263,No,1492.2788642322187
CUST_0066,Female,0,No,No,56,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Mailed check,82.38778219167101,400.33873423784325,No,4613.715802733576
CUST_0067,Female,0,No,No,3,Yes,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),89.34870601110177,6478.610803854575,No,268.04611803330533
CUST_0068,Male,1,Yes,No,70,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,66.0527817142377,1404.244788924226,No,4623.694719996639
CUST_0069,Female,1,Yes,No,49,Yes,No,No,No internet service,No,No internet service,No,Yes,No,One year,No,Electronic check,83.96061132675806,18.8,No,4114.069955011145
CUST_0070,Female,0,No,No,55,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.14927000638552,3630.5714851065886,No,4628.209850351203
CUST_0071,Female,0,No,Yes,31,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,41.68818372227298,1802.7531552662265,No,1292.3336953904625
CUST_0072,Female,0,No,No,21,Yes,Yes,No,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.91155895418444,4489.188455721545,No,2014.1427380378732
CUST_0073,Male,0,No,No,16,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Two year,No,Electronic check,35.16016299832121,2791.596289355944,Yes,562.5626079731394
CUST_0074,Female,1,No,No,17,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No,Two year,Yes,Electronic check,33.23231971313534,2590.901712095261,No,564.9494351233008
CUST_0075,Male,0,No,Yes,1,Yes,No,No,No,No,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),88.87815699460666,1235.9960800476022,No,88.87815699460666
CUST_0076,Female,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No,Yes,No,Yes,Two year,No,Mailed check,98.95105904934394,18.8,Yes,7124.476251552764
CUST_0077,Female,1,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,113.496109881863,2455.465717330065,Yes,7377.247142321095
CUST_0078,Female,0,Yes,No,66,Yes,Yes,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,52.13280513662461,1120.705521956483,No,3440.7651390172246
CUST_0079,Male,0,Yes,No,37,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,69.35877679920354,1337.1295394534911,Yes,2566.2747415705308
CUST_0080,Female,0,No,No,24,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,79.80163999463824,3818.048270186371,No,1915.2393598713177
CUST_0081,Male,1,Yes,No,62,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),30.99934692738462,7263.052608979795,No,1921.9595094978465
CUST_0082,Female,0,No,Yes,21,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),103.15807760972018,7286.352317778194,No,2166.319629804124
CUST_0083,Male,1,Yes,Yes,37,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),108.57960358744026,4710.513246382843,No,4017.4453327352894
CUST_0084,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,89.44503518493782,4116.592057984242,No,3130.5762314728236
CUST_0085,Male,0,No,Yes,38,No,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,39.36386667665431,3771.235227066046,No,1495.8269337128638
CUST_0086,Male,1,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),28.799695965014102,1386.506464835188,No,1526.3838861457475
CUST_0087,Female,0,Yes,No,15,Yes,No phone service,No,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,69.63854393560122,18.8,Yes,1044.5781590340182
CUST_0088,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,No,Mailed check,57.24099522076645,4051.690092042044,No,2404.121799272191
CUST_0089,Female,0,No,No,4,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,23.07661277072703,982.5878541042898,No,92.30645108290813
CUST_0090,Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,110.71137631872358,4880.056007876264,No,4317.743676430219
CUST_0091,Female,0,No,No,23,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),118.75,1603.2062932614017,Yes,2731.25
CUST_0092,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),75.92015061514147,1182.8915901544276,No,1138.802259227122
CUST_0093,Female,1,No,Yes,12,Yes,No phone service,No,No,No,No internet service,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),81.38668180937943,6202.727820013153,No,976.6401817125532
CUST_0094,Female,1,Yes,No,70,Yes,No,No,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,35.028279630414104,4503.413568332665,No,2451.979574128987
CUST_0095,Female,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,108.7240232837526,3870.199106630104,No,5871.097257322641
CUST_0096,Female,0,No,No,38,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),103.02032966026088,155.4187797096065,No,3914.7725270899136
CUST_0097,Female,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),38.00742745627885,1841.7606712633476,No,1064.2079687758078
CUST_0098,Female,0,No,No,19,Yes,No,DSL,No,Yes,No,No internet service,No,No,One year,Yes,Electronic check,51.36154164542081,3307.5396366890586,Yes,975.8692912629954
CUST_0099,Female,1,Yes,Yes,69,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,40.54409554156777,18.8,No,2797.542592368176
CUST_0100,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.26980133777748,1667.6658531346109,No,3729.2672856177587
CUST_0101,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,70.65127666815984,415.6153467915833,No,282.60510667263935
CUST_0102,Female,0,No,Yes,10,Yes,Yes,No,No,No,No,No,Yes,No,One year,No,Mailed check,27.97487150365704,4649.705211767543,No,279.7487150365704
CUST_0103,Female,0,Yes,Yes,12,Yes,No,No,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,28.15433801408164,3150.992313043648,Yes,337.8520561689797
CUST_0104,Female,0,Yes,No,69,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,68.67994433398657,427.09760876471296,No,4738.916159045073
CUST_0105,Female,0,Yes,Yes,7,No,No,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,113.32528755847058,3695.82054244608,No,793.2770129092941
CUST_0106,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),71.79492482705415,5390.761911249981,Yes,3158.9766923903826
CUST_0107,Female,0,Yes,No,23,No,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,82.4376110094355,18.8,Yes,1896.0650532170166
CUST_0108,Female,0,No,No,2,Yes,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,92.45538178454252,1376.6641097939037,No,184.91076356908505
CUST_0109,Female,0,Yes,Yes,37,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Electronic check,57.63177130390263,898.7931744598732,No,2132.3755382443974
CUST_0110,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Two year,No,Mailed check,22.596211590946822,4524.099446807913,No,1559.1385997753307
CUST_0111,Female,0,No,No,20,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,82.1794047844345,3351.7122566757357,Yes,1643.58809568869
CUST_0112,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),88.22174677430672,7092.789979912681,No,3881.756858069496
CUST_0113,Female,0,No,Yes,70,Yes,No,No,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,52.06127070078365,3848.293241380405,No,3644.2889490548555
CUST_0114,Female,0,No,Yes,51,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,115.53502297183896,4356.992208318397,No,5892.286171563786
CUST_0115,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,33.97988458111573,5219.253833042433,No,1053.3764220145877
CUST_0116,Female,1,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,One year,Yes,Mailed check,51.7399961947364,1211.1062776989286,No,2121.339843984192
CUST_0117,Male,1,Yes,Yes,58,Yes,No,DSL,No,Yes,No internet service,No,No,No,One year,No,Electronic check,81.10862979680473,5354.557789040488,No,4704.300528214675
CUST_0118,Female,0,Yes,No,5,Yes,No,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,22.014677282738965,18.8,Yes,110.07338641369483
CUST_0119,Female,1,Yes,No,33,No,No,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),76.94584352256629,2433.4981460361714,No,2539.2128362446874
CUST_0120,Male,0,No,No,43,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),118.75,18.8,No,5106.25
CUST_0121,Female,0,Yes,No,19,Yes,No,No,No,No internet service,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),112.10433133778474,4482.831189263008,No,2129.98229541791
CUST_0122,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,No,Electronic check,79.28868791318222,1544.7556895025916,No,2537.238013221831
CUST_0123,Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.03510466910551,1978.663318625245,Yes,141.1053140073165
CUST_0124,Male,0,No,No,1,Yes,No,No,No,No,Yes,No,No internet service,Yes,Two year,No,Electronic check,63.13711880877489,1083.828980573409,No,63.13711880877489
CUST_0125,Male,0,Yes,Yes,41,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,One year,Yes,Credit card (automatic),76.78329250073773,5617.119774578177,No,3148.114992530247
CUST_0126,Female,0,No,No,48,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Mailed check,72.3094393251455,2949.8629524272296,Yes,3470.8530876069844
CUST_0127,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),90.0948932503512,18.8,No,3513.700836763697
CUST_0128,Male,0,Yes,No,5,Yes,No,No,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,18.25,5844.0626918265,No,91.25
CUST_0129,Female,1,Yes,No,11,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),48.32092829848015,4266.733570480714,No,531.5302112832816
CUST_0130,Female,0,No,No,22,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.31575270809876,1254.2446778886467,No,1920.9465595781726
CUST_0131,Female,0,No,No,64,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),82.79965311786191,4381.899544379085,Yes,5299.177799543162
CUST_0132,Male,0,Yes,No,12,Yes,No,DSL,No,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),74.21845745770538,820.4254273148854,No,890.6214894924647
CUST_0133,Male,0,Yes,No,53,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,98.62054454216776,2821.00466067473,Yes,5226.888860734892
CUST_0134,Male,0,No,No,55,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.82861960367796,2996.31551643027,Yes,5490.574078202288
CUST_0135,Male,0,Yes,No,53,Yes,No,No,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,26.216483992919382,1001.8103281310888,No,1389.4736516247274
CUST_0136,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),75.48096562774995,2902.333540927462,No,1585.100278182749
CUST_0137,Male,0,Yes,Yes,19,Yes,No,No,No,No internet service,No,No,No internet service,Yes,One year,Yes,Mailed check,97.41799646294342,18.8,No,1850.941932795925
CUST_0138,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),61.86311636371075,1328.6608358969806,No,4268.555029096042
CUST_0139,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,61.429560171616096,18.8,No,4422.928332356359
CUST_0140,Male,0,Yes,No,66,Yes,No,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.98972930683632,4538.72136242166,No,5411.322134251197
CUST_0141,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Two year,Yes,Mailed check,18.25,18.8,No,1076.75
CUST_0142,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,56.270620497247904,18.8,No,2757.260404365147
CUST_0143,Female,0,Yes,No,59,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,46.39513365094157,1065.5074104046662,No,2737.3128854055526
CUST_0144,Female,1,No,No,23,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),61.98306904616523,1995.1372689107843,No,1425.6105880618002
CUST_0145,Female,1,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,113.84570627662852,2574.651814951367,No,341.53711882988557
CUST_0146,Male,1,No,No,56,Yes,No,No,No internet service,No,Yes,Yes,No,No,Two year,No,Mailed check,83.87942430964338,8080.209542522186,No,4697.24776134003
